portfolio,website,year,emails,summary
GoodTime.io,https://www.goodtime.io,16-Sep,"privacy@goodtime.io
support@goodtime.io
community@goodtime.io
editor@goodtime.io
hello@goodtime.io
name@company.com
sales@goodtime.io",Uses Employee Data to Schedule Interviews Faster and Cheaper for Enterprises.
"Keewi,  Inc",http://www.keewisolutions.com/,16-Sep,,An IoT Software Company that Uses the Power of Big Data and Machine Learning to Make Buildings Smart and Efficient Without Rebuilding Them.
LeadIQ,http://www.leadiq.com/,16-Sep,,Provides Sales Prospecting & Automation to Help Sales & Marketing Teams Capture Leads from Social Networks.
"Lendsnap,  Inc.",http://lendsnap.com/,16-Sep,orion@lendsnap.com,Linking Borrower Financial and Income Accounts Into Secure Financial Passports™ to Automate the Mortgage Document Hassle and Build the First True Mortgage Marketplace.
Puloli,http://www.puloli.com/,16-Sep,info@puloli.com,Provides Network as a Service (Naas) for Wide Area Wireless Connectivity. Enables Non-Telco Players to Directly Reach End Consumers Bypassing Legacy Telco Providers. 10x Lower Cost of a Megabyte Over Puloli Means Internet of Things (IoT) and Video Delivery are Far More Business Viable Now
RankMyApp,http://rankmyapp.com/,16-Sep,contact@rankmyapp.com,Helps Apps Get More Organic Downloads by Ranking Higher in the App Stores. The Proprietary Algorithm Understands what the Users are Searching for in the App Stores and Gives Automatic Suggestions to Optimize the Marketing Communication. $34K MRR Growing 21% MoM.
Verecho Inc.,http://www.verecho.com/,16-Sep,info@verecho.com,Automating People Knowledge Management for Enterprises.
"AgriData,  Inc.",http://agridata.ai,16-May,cyrille@agridata.ai,Helps Farmers of Trees and Vines Manage Their Yield by Using Machine Learning and Computer Vision.
Byte,http://www.bytefoods.co,16-May,,Helps Feed the 99% of Offices with No Fresh Food on Site. Uses RFID-Enabled Refrigerators to Offer the Most Affordable Fresh Food Solution for Workplaces.
Doxel,http://getdoxel.com/,16-May,,Construction Software for Drones.
Evolute,http://www.evolute.io,16-May,,Develops Enterprise Software Which Enables Cloud IT Leaders to Provision Applications 12x Faster Than VMware While Achieving 2x More Datacenter Density.
FillMyFork,http://www.fillmyfork.com/,16-May,,Outcomes Focused Nutrition Program to Lower Enterprise Healthcare Cost. Employee Engagement 5x Higher than Alternatives.
FunnelBeam,http://www.funnelbeam.com/,16-May,,AI Driven Account Based Sales. Uses Deep Learning Across 1B URLs and Enterprise Silos to Deliver Holistic Account View Deep Sales Signals Personalized Outreach and Next Best Actions for Sales Teams.
Metadata,http://www.metadata.io,16-May,"support@metadata.io
support@metadata.iophone
hello@metadata.io",Fuels Marketing Campaigns With Opt-In Marketing Qualified Leads Using Patent-Pending Technology That Taps Into Your CRM Data To Automatically Analyze And Map Your Target Persona. Metadata Then Uses Look-A-Like Modeling To Target Relevant Prospects To Optimize Your Paid Media Spend And Boost Conversion Rates By 3-5X. Among Our Featured Customers Are Datawatch Atscale Concurrent Cisco UBM Datawatch OOMA And Others.
Mobile Enerlytics,http://mobileenerlytics.com,16-May,"support@mobileenerlytics.com
privacy@mobileenerlytics.com
sales@mobileenerlytics.co
sales@mobileenerlytics.com
hello@mobileenerlytics.com
mail@example.tld
legal@mobileenerlytics.com",End-to-End Solutions that Enable Energy-Aware Mobile App Development.
Multitude,http://www.gomultitude.com/,16-May,,Cloud Software Service For Aggregating Unifying and Interpreting Air Quality Data For Cities and Device OEMs.
Proxloop,http://proxloop.com/,16-May,,Personalizes the Customer Experience In-Store and Help Retailers Make the Creation of Customer Loyalty Easy.
Quantiply Corporation,http://quantiply.com/,16-May,,Delivers Data-Native Self-Learning Applications That Can “Sense And Learn” Which Empowers Business Users in Medium-To-Large Enterprises To Improve Business Outcomes via Continuous Deep Learning.
Resoltz,https://www.resoltz.com/princeton,16-May,"info@resoltz.com
hey@resoltz.com",College and University Wellness Application To Create a Culture of Health Throughout the Country.
Sempre Health,http://www.semprehealth.com/,16-May,team@semprehealth.com,Bringing Behavior-Based Individualized Pricing to Healthcare.
Swipes,http://swipesapp.com/,16-May,"yana@swipesapp.com
tihomir@swipesapp.com",Collaboration Tool that Helps Teams Easily Manage Projects By Integrating the Entire Process in One Place (Gmail Slack Dropbox Office 365 etc).
Volans-i,http://www.volans-i.com/,16-May,"team@volans-i.com
join.us@volans-i.com",Fastest & Cheapest On-Demand Delivery Service For Time-Sensitive Items Using High-Speed Long-Range Drones.
WeLink,http://welink.com/,16-May,,Deep Learning Platform for Identifying Threats on Social Media.
YotaScale,http://www.yotascale.com/,16-May,info@yotascale.com,Enterprise-Grade Cloud Systems Management Platform That Balances Performance Availability Security And Cost Across The Customer’s Cloud Infrastructure Deriving The Optimal Operating Parameters And Then Managing It All Autonomously.
Amodo,http://www.amodo.eu/,16-Jan,contact@amodo.eu,"Connected Insurance Client Platform. Insurers Can Connect With Clients Through IoT Consumer Devices, Improving The Risk Prediction Capability And Building Communication Channels.,"
Crysp,http://www.crysp.com/,16-Jan,contact@crysp.com,Smart User Verification and Fraud Detection Leveraging Context and Behavioral Biometrics
DeferPanic,https://deferpanic.com/,16-Jan,,Eliminating Security Problems Every Company Has With Unikernel Based Infrastructure.
Freemit,http://freemit.com,16-Jan,,Makes It Easy and Cheap to Send Spend Pay and Get Money in Multiple Currencies.
NitroCam,http://www.nitrocam.io/,16-Jan,info@nitrocam.io,Transforms Passive Stale Cameras Into Smart Connected Objects.
PalleTech,http://palletech.co/,16-Jan,info@palletech.co,Makes Sure Companies Never Lose Sight Of Their Cargo.
Performance Sherpa,http://www.theperformancesherpa.com/,16-Jan,,Peak Performance For Your Big Data Apps.
Pomello,https://www.pomello.com/,16-Jan,"hello@pomello.com
careers@pomello.com
support@pomello.com",Employee Lifecycle Analytics As A Service.
Quicklogix,http://www.quicklogix.com/,16-Jan,,From Questions To Insights In Seconds. Cognitive Data Integration Platform Combined With NLP Based Analytics On Enterprise Data.
RageOn,http://www.rageon.com/,16-Jan,,Merchandising Made Easy.
SalesIntel,http://www.salesintel.com/,16-Jan,,Data Science powers the missing link in Relationship Management for Enterprise Sales.
Skyline,http://www.theSkyline.io,16-Jan,,Framework For Future Enterprises To Build Their Own Fully-Customized Communication
Switch Automation,https://www.switchautomation.com/,16-Jan,"engineering@switchautomation.com
contact@switchautomation.com
support@switchautomation.com
marketing@switchautomation.com
msaylor@switchautomation.com",Enterprise Operations Platform For Portfolios Of Buildings. Connects Systems And Devices To Cloud Hosted Building Management System For Real-Time Monitoring And Controls. Management And BI Application In Days. Looking To Change The Way Enterprise Software Is Developed With 90% Lower Cost And Consumer Mobile App User Experience Without Need For IT Pros Or Consultants.
Ubicall,http://www.ubicall.com/,16-Jan,,Smart Customer Service Through A Code-Free Platform To Visually Route Customers To Different Support Channels On Mobile.
ClearMetal,http://www.clearmetal.com/home,15-Sep,"hello@clearmetal.com
info@clearmetal.com
tholmes@clearmetal.com
chris@clearmetal.com",Data Science to Solve The Most Complex Problems in Shipping & Logistics
CLEER Networks,,15-Sep,,Enables The Delivery Of Highly Interactive Digital Media And Applications From the Cloud — Cloud-Delivered Streaming Games Augmented And Virtual Reality Interactive IPTV Virtual Desktops and So On. The Current “”””Best-Effort”””” Internet Fails Miserably Especially During Peak Hours. Our Approach is Extremely Compelling For It Delivers Extremely High-Performance Networking and Awesome User Experiences While Slashing Infrastructure Costs at the Same Time.
DataWallet,https://www.datawallet.io/,15-Sep,,C2B Data Marketplace That Allows Companies To Source Any Personal Online Data Possible Based Upon Expressive Personal Consumer Consent.
DeltaBid,https://www.deltabid.com/,15-Sep,"rain@deltabid.com
security@deltabid.com
team@deltabid.com",Easy-To-Use Collaboration Tool For Mid-Market Companies For Running RFPs And Managing Supplier Interactions. We Have A Strong Procurement Background With 30+ Years Of Experience.
Lean QbD,http://www.leanqbd.com/,15-Sep,,Saas For Pharmaceutical/Biotech Scientists To Accelerate Drug Development-To-Submission.
Maxerience,http://www.maxerience.com,15-Sep,contact@maxerience.com,Builds Embedded Visual Intelligence Systems For Object Identification And Anamoly Detection In Dynamic Environments Currently Deployed In The Industrial Automation And Retail Spaces.
mPharma,https://www.mpharma.co,15-Sep,,Pharmaceutical Data Analytics And Digital Marketing Provider For Emerging Markets Starting In Africa.
OpenChannel,https://openchannel.io/,15-Sep,support@openchannel.io,Your Own App Marketplace In Minutes. The Only Turnkey Solution That Allows Companies To Create Their Own App Marketplace For Partners And Developers Providing A 10x Reduction In Total Cost Of Ownership And 90% Decrease In Time To Market.
Positron Dynamics,http://www.positrondynamics.com,15-Sep,info@positrondynamics.com,Putting Antimatter To Work.
Rigetti Quantum Computing,http://www.rigetti.com,15-Sep,"careers@rigetti.com
info@rigetti.com
press@rigetti.com
support@rigetti.com",General-Purpose Commercial Quantum Supercomputing Systems.
Timekit,http://timekit.io,15-Sep,"marty.mcfly@timekit.io
doc.brown@timekit.io
yourfriends@timekit.io",Scheduling Infrastructure Built For Developers. An API That Developers Can Use To Build Products With Calendars Scheduling And Appointment Flows Deeply Integrated.
WholeMeaning,http://www.wholemeaning.com,15-Sep,"soporte@wholemeaning.com
prensa@wholemeaning.com
hi@wholemeaning.com
seleccion@wholemeaning.com
contact@wholemeaning.com
ventas@wholemeaning.com",Turns Customer Feedback Into Revenue By Distilling User-Specific Insights For Better Decision Making.
Zycada Networks,http://www.zycada.com,15-Sep,,SDN/SAAS Player Taking A Fundamentally Different Approach To Solving Mobile Network Unreliabilty Caused By Factors Such As Network Congestion Data Packet Loss Etc.
Exabyte.io,http://exabyte.io/,15-May,"info@exabyte.io
hi@exabyte.io",Team of Top Tier Scientists and Engineers Building the Fastest Way to Discover New Materials.
InsideWarehouse,http://www.insidewarehouse.com/,15-May,,Bringing eCommerce Into Every Content Site/App.
Kügar,http://www.kugar.com/,15-May,,Highly Versatile Robotics Platform Providing Solutions in Manufacturing and Materials Handling.
Litmus Automation,http://litmusautomation.com/,15-May,,End-to-End IoT Cloud PaaS for Connecting Devices Sensors or Smart Machines to Enterprise Applications like ERP CRM or Bigdata.
NML Stream,http://www.nightingaleanalytics.com/,15-May,,Decision Software for Streaming Data.
Qbox,http://qbox.io/,15-May,,Elasticsearch as a Service the Hugely Popular Open Source NoSQL Database.
QC Ware,http://qcware.com/,15-May,,Bringing Quantum Computing Power to the Enterprise. We are Developing Application Software that Runs on QC Machines.
Sensorhound,http://www.sensorhound.com/,15-May,,Turnkey Software Solution That Reduces Operations Costs and Improves Reliability and Security of the Internet of Things.
Thinnect,http://www.thinnect.com/,15-May,"product@thinnect.com
someone@mail.com
general@thinnect.com",Enabling Mist Computing for IoT – Eliminating Configuration and Deployment Overheads While Providing a Distributed Embedded Application Platform for IoT.
28msec,http://www.28msec.com,15-Jan,,Virtual Databases
47Line,http://www.47line.com/,15-Jan,,Building Products to Simplify Enterprise Cloud Adoption. The flagship Product Batchly Helps Enterprises Achieve Batch Processing Nirvana Using Public Cloud.
Carrum Health,http://www.carrumhealth.com/,15-Jan,,Marketplace for Planned Healthcare Procedures.
Cellabus,https://www.cellabus.com/,15-Jan,,Device-Centric Classroom Management and Content Distriubtion Platform for the Education Vertical.
Cobalt,https://cobalt.io,15-Jan,"press@cobalt.io
partner@cobalt.io
security@cobalt.io
support@cobalt.io
hello@cobalt.io
demo@cobalt.io
info@cobalt.io",An Application Security Marketplace. We Source Security Researchers From Around the World and Connect Them With Businesses. Crowd-Powered Security Audits and Bug Bounty Programs.
LaunchDarkly,http://launchdarkly.com/,15-Jan,,Modern Product Managment Platform to Manage and Optimize Software.
MoEngage,http://www.moengage.com/,15-Jan,"sales@moengage.com
jobs@moengage.com
sagar@moengage.com
hello@moengage.com
privacy@moengage.com
support@moengage.com
legal@moengage.com",Marketing Automation Platform Pioneering User-Level Personalization Solving the Problem of Churn in Mobile Apps.
NanoPay,https://nanopay.net/,15-Jan,"info@nanopay.net
support@nanopay.net
pr@nanopay.net",Next-Gen Payments Platform for Online and Retail. Secure Fast and Lower Cost.
OneMob,https://www.onemob.com/,15-Jan,"hello@onemob.com
sales@onemob.com
legal@onemob.com",Real-Time Messaging and Engagement Platform for Mobile SaaS.
Pareto Biotechnologies,,15-Jan,,Synthetic Biology Platform to Generate “Designer Molecules.”
Scoro,http://www.scoro.com/,15-Jan,,The Ultimate Control Hub for Companies to Access Manage and Automate Data Across Existing Productivity CRM and Billing Applications.
WorkHands,https://www.workhands.us/,15-Jan,"support@workhands.us
melvin.abano79@gmail.com
privacy@workhands.us
tulsa-welding-school@workhands.us
info@workhands.us
jstokes@cuesta.edu
cuesta-college@workhands.us
amarillo-college@workhands.us
will-c-wood-high-school@workhands.us
email@provider.com",The Blue Collar Web.
